"Name","State","Notes","User","Tags","Created","Runtime","Sweep","_name_or_path","accelerator_config.even_batches","accelerator_config.non_blocking","accelerator_config.split_batches","accelerator_config.use_seedable_sampler","adam_beta1","adam_beta2","adam_epsilon","add_cross_attention","architectures","attention_probs_dropout_prob","auto_find_batch_size","average_tokens_across_devices","batch_eval_metrics","bf16","bf16_full_eval","bos_token_id","chunk_size_feed_forward","dataloader_drop_last","dataloader_num_workers","dataloader_persistent_workers","dataloader_pin_memory","ddp_timeout","debug","disable_tqdm","do_eval","do_predict","do_train","dtype","enable_jit_checkpoint","eos_token_id","eval_delay","eval_do_concat_batches","eval_on_start","eval_strategy","eval_use_gather_object","fp16","fp16_full_eval","fsdp","fsdp_config.min_num_params","fsdp_config.xla","fsdp_config.xla_fsdp_grad_ckpt","fsdp_config.xla_fsdp_v2","full_determinism","gradient_accumulation_steps","gradient_checkpointing","hidden_act","hidden_dropout_prob","hidden_size","hub_always_push","hub_strategy","hub_token","id2label.0","id2label.1","ignore_data_skip","include_for_metrics","include_num_input_tokens_seen","initializer_range","intermediate_size","is_decoder","is_encoder_decoder","label2id.LABEL_0","label2id.LABEL_1","label_smoothing_factor","layer_norm_eps","learning_rate","length_column_name","load_best_model_at_end","local_rank","log_level","log_level_replica","log_on_each_node","logging_first_step","logging_nan_inf_filter","logging_steps","logging_strategy","lr_scheduler_type","max_grad_norm","max_position_embeddings","max_steps","model/num_parameters","model_type","num_attention_heads","num_hidden_layers","num_train_epochs","optim","output_attentions","output_dir","output_hidden_states","pad_token_id","per_device_eval_batch_size","per_device_train_batch_size","prediction_loss_only","project","push_to_hub","remove_unused_columns","report_to","restore_callback_states_from_checkpoint","return_dict","save_on_each_node","save_only_model","save_steps","save_strategy","seed","skip_memory_metrics","tie_word_embeddings","torch_compile","trackio_space_id","train_sampling_strategy","transformers_version","type_vocab_size","use_cache","use_cpu","use_liger_kernel","vocab_size","warmup_steps","weight_decay","epoch","eval/aupr","eval/fpr_at_90_recall","eval/fpr_at_95_recall","eval/loss","eval/roc_auc","eval/runtime","eval/samples_per_second","eval/steps_per_second","eval_aupr","eval_fpr_at_90_recall","eval_fpr_at_95_recall","eval_loss","eval_roc_auc","eval_runtime","eval_samples_per_second","eval_steps_per_second","total_flos","train/epoch","train/global_step","train/grad_norm","train/learning_rate","train/loss","train_loss","train_runtime","train_samples_per_second","train_steps_per_second"
"final_best_model","finished","-","","","2026-02-28T06:57:14.000Z","619","","roberta-base","true","false","false","true","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","0.1","false","true","false","false","false","0","0","false","0","false","true","1800","[]","false","true","false","false","float32","false","2","0","true","false","epoch","false","true","false","[]","0","false","false","false","false","1","false","gelu","0.1","768","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","3072","false","false","0","1","0","0.00001","0.00004252393794335612","length","true","-1","passive","warning","true","false","true","500","steps","linear","1","514","-1","124647170","roberta","12","12","5","adamw_torch_fused","false","./best_roberta_classifier","false","1","8","8","false","huggingface","false","true","[""wandb""]","false","true","false","false","500","epoch","42","true","true","false","trackio","random","5.2.0","1","false","false","false","50265","54","0.022218171238689344","5","0.9175020160504443","1","1","0.5509498715400696","0.914769307555673","3.772","415.16","51.961","0.9175020160504443","1","1","0.5509498715400696","0.914769307555673","3.772","415.16","51.961","12771875182631520","5","8845","2.6809334754943848","0.0000016736756374020268","0.3115093688964844","0.46689118794494594","515.3497","137.266","17.163"
"trial_9","finished","-","","","2026-02-28T06:44:52.000Z","617","","roberta-base","true","false","false","true","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","0.1","false","true","false","false","false","0","0","false","0","false","true","1800","[]","false","true","false","false","float32","false","2","0","true","false","epoch","false","false","false","[]","0","false","false","false","false","4","false","gelu","0.1","768","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","3072","false","false","0","1","0","0.00001","0.00004554744976839141","length","false","-1","passive","warning","true","false","true","10","steps","linear","1","514","-1","124647170","roberta","12","12","3","adamw_torch_fused","false","./temp_results_trial_9","false","1","4","4","false","huggingface","false","true","[""wandb""]","false","true","false","false","500","no","42","true","true","false","trackio","random","5.2.0","1","false","false","false","50265","286","0.03741106663852432","3","0.9372809205813486","1","1","0.4152689278125763","0.9344622069552708","6.9859","224.167","56.113","0.9372809205813486","1","1","0.4152689278125763","0.9344622069552708","6.9859","224.167","56.113","5906055915221040","3","2655","18.106414794921875","1.1535867395962365e-7","0.8504238128662109","1.524553037453057","604.6098","70.201","4.391"
"trial_8","finished","-","","","2026-02-28T06:30:13.000Z","873","","roberta-base","true","false","false","true","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","0.1","false","true","false","false","false","0","0","false","0","false","true","1800","[]","false","true","false","false","float32","false","2","0","true","false","epoch","false","false","false","[]","0","false","false","false","false","4","false","gelu","0.1","768","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","3072","false","false","0","1","0","0.00001","0.000005066309123682332","length","false","-1","passive","warning","true","false","true","10","steps","linear","1","514","-1","124647170","roberta","12","12","3","adamw_torch_fused","false","./temp_results_trial_8","false","1","2","2","false","huggingface","false","true","[""wandb""]","false","true","false","false","500","no","42","true","true","false","trackio","random","5.2.0","1","false","false","false","50265","438","0.07349564913845534","3","0.9105816920508584","1","1","0.44830939173698425","0.9073796789699377","10.0934","155.152","77.576","0.9105816920508584","1","1","0.44830939173698425","0.9073796789699377","10.0934","155.152","77.576","4241042906912760","3","5307","7.0673675537109375","8.324188332195245e-9","1.3666804313659668","1.7276531499456906","857.5808","49.493","6.188"
"trial_7","finished","-","","","2026-02-28T06:19:27.000Z","641","","roberta-base","true","false","false","true","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","0.1","false","true","false","false","false","0","0","false","0","false","true","1800","[]","false","true","false","false","float32","false","2","0","true","false","epoch","false","false","false","[]","0","false","false","false","false","4","false","gelu","0.1","768","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","3072","false","false","0","1","0","0.00001","0.0000041613999077994994","length","false","-1","passive","warning","true","false","true","10","steps","linear","1","514","-1","124647170","roberta","12","12","3","adamw_torch_fused","false","./temp_results_trial_7","false","1","8","8","false","huggingface","false","true","[""wandb""]","false","true","false","false","500","no","42","true","true","false","trackio","random","5.2.0","1","false","false","false","50265","2","0.025784195004342415","3","0.8888983912465532","1","1","0.4171198010444641","0.8824469204308021","6.3163","247.93","31.031","0.8888983912465532","1","1","0.4171198010444641","0.8824469204308021","6.3163","247.93","31.031","7674051207263760","3","1329","23.850034713745117","3.1359456727954034e-8","1.5200576782226562","1.8621325022838813","628.0211","67.584","2.116"
"trial_6","finished","-","","","2026-02-28T06:04:50.000Z","872","","roberta-base","true","false","false","true","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","0.1","false","true","false","false","false","0","0","false","0","false","true","1800","[]","false","true","false","false","float32","false","2","0","true","false","epoch","false","false","false","[]","0","false","false","false","false","4","false","gelu","0.1","768","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","3072","false","false","0","1","0","0.00001","0.000003219656159094039","length","false","-1","passive","warning","true","false","true","10","steps","linear","1","514","-1","124647170","roberta","12","12","3","adamw_torch_fused","false","./temp_results_trial_6","false","1","2","2","false","huggingface","false","true","[""wandb""]","false","true","false","false","500","no","42","true","true","false","trackio","random","5.2.0","1","false","false","false","50265","482","0.03132092633720514","3","0.9011087829192684","1","1","0.4469963014125824","0.8931973987463484","10.1333","154.54","77.27","0.9011087829192684","1","1","0.4469963014125824","0.8931973987463484","10.1333","154.54","77.27","4241042906912760","3","5307","43.45071792602539","5.338290004715505e-9","1.406428623199463","1.825352906147504","855.6986","49.602","6.202"
"trial_5","finished","-","","","2026-02-28T05:50:16.000Z","869","","roberta-base","true","false","false","true","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","0.1","false","true","false","false","false","0","0","false","0","false","true","1800","[]","false","true","false","false","float32","false","2","0","true","false","epoch","false","false","false","[]","0","false","false","false","false","4","false","gelu","0.1","768","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","3072","false","false","0","1","0","0.00001","0.000044492127257777314","length","false","-1","passive","warning","true","false","true","10","steps","linear","1","514","-1","124647170","roberta","12","12","3","adamw_torch_fused","false","./temp_results_trial_5","false","1","2","2","false","huggingface","false","true","[""wandb""]","false","true","false","false","500","no","42","true","true","false","trackio","random","5.2.0","1","false","false","false","50265","96","0.08990751383584077","3","0.9392147426096372","1","1","0.5246773958206177","0.9367196279822342","10.0872","155.246","77.623","0.9392147426096372","1","1","0.5246773958206177","0.9367196279822342","10.0872","155.246","77.623","4241042906912760","3","5307","5.90867805480957","6.830493534105135e-8","1.3025202751159668","1.649569956668245","853.0769","49.754","6.221"
"trial_4","finished","-","","","2026-02-28T05:35:36.000Z","875","","roberta-base","true","false","false","true","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","0.1","false","true","false","false","false","0","0","false","0","false","true","1800","[]","false","true","false","false","float32","false","2","0","true","false","epoch","false","false","false","[]","0","false","false","false","false","4","false","gelu","0.1","768","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","3072","false","false","0","1","0","0.00001","0.00004252393794335612","length","false","-1","passive","warning","true","false","true","10","steps","linear","1","514","-1","124647170","roberta","12","12","3","adamw_torch_fused","false","./temp_results_trial_4","false","1","2","2","false","huggingface","false","true","[""wandb""]","false","true","false","false","500","no","42","true","true","false","trackio","random","5.2.0","1","false","false","false","50265","54","0.022218171238689344","3","0.946515019238954","1","1","0.5606837272644043","0.9435718142064202","10.1547","154.214","77.107","0.946515019238954","1","1","0.5606837272644043","0.9435718142064202","10.1547","154.214","77.107","4241042906912760","3","5307","3.0147173404693604","6.476137512789814e-8","0.5169413089752197","1.561978712804308","859.0886","49.406","6.177"
"trial_3","finished","-","","","2026-02-28T05:24:51.000Z","639","","roberta-base","true","false","false","true","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","0.1","false","true","false","false","false","0","0","false","0","false","true","1800","[]","false","true","false","false","float32","false","2","0","true","false","epoch","false","false","false","[]","0","false","false","false","false","4","false","gelu","0.1","768","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","3072","false","false","0","1","0","0.00001","0.000003253179789368559","length","false","-1","passive","warning","true","false","true","10","steps","linear","1","514","-1","124647170","roberta","12","12","3","adamw_torch_fused","false","./temp_results_trial_3","false","1","8","8","false","huggingface","false","true","[""wandb""]","false","true","false","false","500","no","42","true","true","false","trackio","random","5.2.0","1","false","false","false","50265","79","0.015365648555113557","3","0.883398886931784","1","1","0.4281698167324066","0.8759682525701814","6.2625","250.062","31.298","0.883398886931784","1","1","0.4281698167324066","0.8759682525701814","6.2625","250.062","31.298","7674051207263760","3","1329","21.05948829650879","2.6025438314948473e-8","1.5763708114624024","1.9592474620982705","627.6823","67.62","2.117"
"trial_2","finished","-","","","2026-02-28T05:14:06.000Z","639","","roberta-base","true","false","false","true","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","0.1","false","true","false","false","false","0","0","false","0","false","true","1800","[]","false","true","false","false","float32","false","2","0","true","false","epoch","false","false","false","[]","0","false","false","false","false","4","false","gelu","0.1","768","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","3072","false","false","0","1","0","0.00001","0.00000541365521681366","length","false","-1","passive","warning","true","false","true","10","steps","linear","1","514","-1","124647170","roberta","12","12","3","adamw_torch_fused","false","./temp_results_trial_2","false","1","8","8","false","huggingface","false","true","[""wandb""]","false","true","false","false","500","no","42","true","true","false","trackio","random","5.2.0","1","false","false","false","50265","384","0.04242916077222402","3","0.9017385861511692","1","1","0.4028069376945496","0.8960452723829655","6.2921","248.884","31.15","0.9017385861511692","1","1","0.4028069376945496","0.8960452723829655","6.2921","248.884","31.15","7674051207263760","3","1329","25.48406410217285","5.7287356791678944e-8","1.4656268119812013","1.907724969632828","627.7872","67.609","2.117"
"trial_1","finished","-","","","2026-02-28T05:03:21.000Z","639","","roberta-base","true","false","false","true","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","0.1","false","true","false","false","false","0","0","false","0","false","true","1800","[]","false","true","false","false","float32","false","2","0","true","false","epoch","false","false","false","[]","0","false","false","false","false","4","false","gelu","0.1","768","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","3072","false","false","0","1","0","0.00001","0.00000951899024203121","length","false","-1","passive","warning","true","false","true","10","steps","linear","1","514","-1","124647170","roberta","12","12","3","adamw_torch_fused","false","./temp_results_trial_1","false","1","8","8","false","huggingface","false","true","[""wandb""]","false","true","false","false","500","no","42","true","true","false","trackio","random","5.2.0","1","false","false","false","50265","32","0.011845932583433916","3","0.903907580416841","1","1","0.411005824804306","0.9008276123042496","6.3443","246.835","30.894","0.903907580416841","1","1","0.411005824804306","0.9008276123042496","6.3443","246.835","30.894","7674051207263760","3","1329","25.514142990112305","7.33923688668559e-8","1.3199359893798828","1.639477668802392","627.5672","67.633","2.118"
